BPM,States
76.82,Awake
90.77,Awake
83.22,Awake
90.77,Awake
78.84,Awake
88.11,Awake
83.22,Awake
80.97,Awake
78.84,Awake
83.22,Awake
78.84,Awake
80.97,Awake
78.74,Awake
80.97,Awake
78.84,Awake
78.84,Awake
73.08,Awake
76.82,Awake
83.1,Awake
83.22,Awake
76.73,Awake
83.22,Awake
68.03,Awake
80.97,Awake
78.84,Awake
78.84,Awake
83.22,Awake
83.22,Awake
85.59,Awake
85.59,Awake
88.11,Awake
85.59,Awake
83.22,Awake
83.22,Awake
85.59,Awake
88.11,Awake
85.59,Awake
85.59,Awake
74.91,Awake
76.82,Awake
80.97,Awake
73.08,Awake
55.45,Awake
90.77,Awake
76.73,Awake
76.82,Awake
78.84,Awake
88.11,Awake
74.91,Awake
78.74,Awake
85.59,Awake
85.59,Awake
78.74,Awake
88.11,Awake
78.84,Awake
80.97,Awake
78.74,Awake
85.59,Awake
85.59,Awake
83.22,Awake
88.11,Awake
71.26,Awake
71.34,Awake
83.1,Awake
83.22,Awake
85.59,Awake
83.1,Awake
78.84,Awake
90.77,Awake
80.97,Awake
69.69,Awake
65.15,Awake
71.34,Awake
71.34,Awake
66.59,Awake
69.69,Awake
65.15,Awake
73.08,Awake
62.43,Awake
71.34,Awake
71.34,Awake
71.34,Awake
69.69,Awake
74.91,Awake
69.69,Awake
73.08,Awake
73.08,Awake
73.08,Awake
78.84,Awake
74.91,Awake
68.1,Awake
69.69,Awake
65.15,Awake
90.77,Awake
52.54,Asleep
53.52,Asleep
88.11,Awake
85.59,Awake
80.97,Awake
78.74,Awake
83.22,Awake
88.11,Awake
88.11,Awake
50.8,Asleep
53.48,Asleep
56.55,Asleep
50.8,Asleep
90.77,Asleep
52.59,Asleep
53.52,Asleep
50.76,Asleep
50.76,Asleep
54.45,Asleep
90.77,Asleep
59.94,Asleep
88.11,Awake
88.11,Awake
85.59,Awake
76.82,Awake
88.11,Awake
74.91,Awake
50.76,Awake
83.22,Awake
83.22,Awake
50.76,Awake
90.77,Awake
88.11,Awake
90.77,Awake
80.97,Awake
85.59,Awake
88.11,Awake
83.22,Awake
85.59,Awake
88.11,Awake
85.59,Awake
85.59,Awake
88.11,Awake
80.97,Awake
88.11,Awake
88.11,Awake
90.77,Awake
88.11,Awake
88.11,Awake
83.33,Awake
90.77,Awake
83.22,Awake
90.77,Awake
88.11,Awake
83.22,Awake
83.1,Awake
88.11,Awake
80.97,Awake
88.11,Awake
88.11,Awake
83.22,Awake
85.59,Awake
83.22,Awake
76.82,Awake
83.22,Awake
85.59,Awake
85.59,Awake
85.59,Awake
83.22,Awake
80.97,Awake
85.71,Awake
78.84,Awake
83.22,Awake
85.71,Awake
88.11,Awake
88.11,Awake
88.11,Awake
85.59,Awake
90.77,Awake
80.97,Awake
85.59,Awake
80.97,Awake
83.22,Awake
83.22,Awake
85.59,Awake
85.59,Awake
88.11,Awake
90.77,Awake
88.11,Awake
88.11,Awake
74.91,Awake
90.77,Awake
80.97,Awake
80.97,Awake
83.22,Awake
78.84,Awake
74.91,Awake
85.59,Awake
85.59,Awake
74.81,Awake
80.97,Awake
76.82,Awake
85.59,Awake
85.59,Awake
85.59,Awake
90.77,Awake
88.11,Awake
85.59,Awake
85.59,Awake
88.11,Awake
85.59,Awake
88.11,Awake
90.77,Awake
85.59,Awake
88.11,Awake
78.84,Awake
88.11,Awake
83.22,Awake
83.22,Awake
85.59,Awake
78.84,Awake
90.77,Awake
88.24,Awake
90.77,Awake
80.97,Awake
80.97,Awake
71.34,Awake
