BPM,Person,Time,State
76.82,1,525,Awake
90.77,1,530,Awake
83.22,1,530,Awake
90.77,1,530,Awake
78.84,1,535,Awake
88.11,1,535,Awake
83.22,1,535,Awake
80.97,1,541,Awake
78.84,1,541,Awake
83.22,1,541,Awake
78.84,1,541,Awake
80.97,1,546,Awake
78.74,1,546,Awake
80.97,1,546,Awake
78.84,1,551,Awake
78.84,1,551,Awake
73.08,1,551,Asleep
76.82,1,551,Awake
83.1,1,556,Awake
83.22,1,567,Awake
76.73,1,567,Awake
83.22,1,567,Awake
68.03,1,572,Asleep
80.97,1,578,Awake
78.84,1,583,Awake
78.84,1,583,Awake
83.22,1,583,Awake
83.22,1,625,Awake
85.59,1,632,Awake
85.59,1,639,Awake
88.11,1,639,Awake
85.59,1,645,Awake
83.22,1,645,Awake
83.22,1,650,Awake
85.59,1,650,Awake
88.11,1,650,Awake
85.59,1,656,Awake
85.59,1,661,Awake
74.91,1,661,Asleep
76.82,1,667,Awake
80.97,1,667,Awake
73.08,1,672,Asleep
55.45,1,704,Asleep
90.77,1,715,Awake
76.73,1,728,Awake
76.82,1,728,Awake
78.84,1,734,Awake
88.11,1,734,Awake
74.91,1,739,Asleep
78.74,1,739,Awake
85.59,1,739,Awake
85.59,1,745,Awake
78.74,1,745,Awake
88.11,1,745,Awake
78.84,1,750,Awake
80.97,1,750,Awake
78.74,1,756,Awake
85.59,1,767,Awake
85.59,1,799,Awake
83.22,1,820,Awake
88.11,1,820,Awake
71.26,1,820,Asleep
71.34,1,875,Asleep
83.1,1,875,Awake
83.22,1,880,Awake
85.59,1,880,Awake
83.1,1,880,Awake
78.84,1,893,Awake
90.77,1,893,Awake
80.97,1,901,Awake
69.69,1,54684,Asleep
65.15,1,54689,Asleep
71.34,1,54689,Asleep
71.34,1,54689,Asleep
66.59,1,54694,Asleep
69.69,1,54694,Asleep
65.15,1,54699,Asleep
73.08,1,54699,Asleep
62.43,1,54704,Asleep
71.34,1,54704,Asleep
71.34,1,54704,Asleep
71.34,1,54709,Asleep
69.69,1,54709,Asleep
74.91,1,54709,Asleep
69.69,1,54715,Asleep
73.08,1,54715,Asleep
73.08,1,54715,Asleep
73.08,1,54715,Asleep
78.84,1,54721,Awake
74.91,1,54721,Asleep
68.1,1,54721,Asleep
69.69,1,54726,Asleep
65.15,1,54726,Asleep
90.77,1,54726,Awake
52.54,1,54843,Asleep
53.52,1,54856,Asleep
88.11,1,54861,Awake
85.59,1,54861,Awake
80.97,1,54867,Awake
78.74,1,54867,Awake
83.22,1,54867,Awake
88.11,1,54867,Awake
88.11,1,54878,Awake
50.8,1,54889,Asleep
53.48,1,54901,Asleep
56.55,1,54912,Asleep
50.8,1,54917,Asleep
90.77,1,55066,Awake
52.59,1,55071,Asleep
53.52,1,55083,Asleep
50.76,1,55083,Asleep
50.76,1,55083,Asleep
54.45,1,55083,Asleep
90.77,1,55083,Awake
59.94,1,55090,Asleep
88.11,1,55101,Awake
88.11,1,55106,Awake
85.59,1,55106,Awake
76.82,1,55106,Awake
88.11,1,55106,Awake
74.91,1,55112,Asleep
50.76,1,55117,Asleep
83.22,1,55123,Awake
83.22,1,55123,Awake
50.76,1,55134,Asleep
90.77,1,55142,Awake
88.11,1,55163,Awake
90.77,1,55168,Awake
80.97,1,56112,Awake
85.59,1,56117,Awake
88.11,1,56117,Awake
83.22,1,56117,Awake
85.59,1,56123,Awake
88.11,1,56123,Awake
85.59,1,56123,Awake
85.59,1,56123,Awake
88.11,1,56128,Awake
80.97,1,56128,Awake
88.11,1,56128,Awake
88.11,1,56128,Awake
90.77,1,56134,Awake
88.11,1,56134,Awake
88.11,1,56159,Awake
83.33,1,56159,Awake
90.77,1,56164,Awake
83.22,1,56176,Awake
90.77,1,56193,Awake
88.11,1,56193,Awake
83.22,1,56193,Awake
83.1,1,56198,Awake
88.11,1,56198,Awake
80.97,1,56198,Awake
88.11,1,56198,Awake
88.11,1,56204,Awake
83.22,1,56204,Awake
85.59,1,56209,Awake
83.22,1,56209,Awake
76.82,1,56209,Awake
83.22,1,56209,Awake
85.59,1,56214,Awake
85.59,1,56214,Awake
85.59,1,56214,Awake
83.22,1,56214,Awake
80.97,1,56220,Awake
85.71,1,56220,Awake
78.84,1,56220,Awake
83.22,1,56225,Awake
85.71,1,56225,Awake
88.11,1,56225,Awake
88.11,1,56225,Awake
88.11,1,56230,Awake
85.59,1,56230,Awake
90.77,1,56230,Awake
80.97,1,56230,Awake
85.59,1,56236,Awake
80.97,1,56236,Awake
83.22,1,56236,Awake
83.22,1,56241,Awake
85.59,1,56241,Awake
85.59,1,56241,Awake
88.11,1,56247,Awake
90.77,1,56247,Awake
88.11,1,56247,Awake
88.11,1,56247,Awake
74.91,1,56252,Asleep
90.77,1,56252,Awake
80.97,1,56252,Awake
80.97,1,56257,Awake
83.22,1,56257,Awake
78.84,1,56257,Awake
74.91,1,56257,Asleep
85.59,1,56262,Awake
85.59,1,56262,Awake
74.81,1,56277,Asleep
80.97,1,56283,Awake
76.82,1,56283,Awake
85.59,1,56288,Awake
85.59,1,56288,Awake
85.59,1,56288,Awake
90.77,1,56294,Awake
88.11,1,56294,Awake
85.59,1,56294,Awake
85.59,1,56299,Awake
88.11,1,56299,Awake
85.59,1,56305,Awake
88.11,1,56305,Awake
90.77,1,56305,Awake
85.59,1,56310,Awake
88.11,1,56310,Awake
78.84,1,56310,Awake
88.11,1,56310,Awake
83.22,1,56315,Awake
83.22,1,56315,Awake
85.59,1,56315,Awake
78.84,1,56315,Awake
90.77,1,56321,Awake
88.24,1,56321,Awake
90.77,1,56321,Awake
80.97,1,56326,Awake
80.97,1,56332,Awake
71.34,1,56332,Asleep
83.22,1,56332,Awake
78.84,1,56332,Awake
78.84,1,56337,Awake
